Ticker,Company,Exchange,Industry,Env_Grade,Env_Level,Social_Grade,Social_Level,Gov_Grade,Gov_Level,Env_Score,Social_Score,Gov_Score,Total_Score,Date,Total_Grade,Total_Level,ESG_Category,Env_Norm,Social_Norm,Gov_Norm,Weighted_ESG_Score,ESG_Rank
acad,ACADIA Pharmaceuticals Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,230,230,305,765,2022-04-16,BB,Medium,Laggard,5.780346820809249,13.806706114398423,57.49999999999999,21.52,545
acac,Acri Capital Acquisition Corp,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,BB,Medium,200,205,300,705,2022-06-10,B,Medium,Laggard,0.0,8.875739644970414,56.25,17.17,609
accd,Accolade Inc,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,255,254,235,744,2022-06-10,B,Medium,Laggard,10.597302504816955,18.54043392504931,40.0,20.73,559
acet,Adicet Bio Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,215,211,305,731,2022-04-16,B,Medium,Laggard,2.8901734104046244,10.059171597633137,57.49999999999999,19.05,583
abcl,Abcellera Biologics Inc,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,A,High,BB,Medium,BB,Medium,540,354,345,1239,2022-06-10,A,High, Leader,65.51059730250482,38.26429980276134,67.5,56.47,58
abcb,Ameris Bancorp,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,BB,Medium,B,Medium,290,300,250,840,2022-04-16,BB,Medium, Average,17.341040462427745,27.613412228796847,43.75,27.54,483
acev,ACE Convergence Acquisition Corp,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,B,Medium,225,211,215,651,2022-06-10,B,Medium,Laggard,4.8169556840077075,10.059171597633137,35.0,14.2,655
achl,Achilles Therapeutics PLC,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,230,288,285,803,2022-06-10,BB,Medium, Average,5.780346820809249,25.2465483234714,52.5,24.27,515
achc,Acadia Healthcare Company Inc,NASDAQ NMS - GLOBAL MARKET,Health Care,BB,Medium,B,Medium,B,Medium,330,231,220,781,2022-04-16,BB,Medium,Laggard,25.048169556840076,14.003944773175542,36.25,23.98,520
aciw,ACI Worldwide Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,500,327,300,1127,2022-04-16,BBB,High, Leader,57.80346820809249,32.938856015779095,56.25,48.71,229
acls,Axcelis Technologies Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,B,Medium,515,306,260,1081,2022-04-16,BBB,High, Average,60.69364161849711,28.79684418145957,46.25,45.92,324
aciu,AC Immune SA,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,250,296,305,851,2022-04-16,BB,Medium, Average,9.633911368015415,26.82445759368836,57.49999999999999,27.62,482
achv,Achieve Life Sciences Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,215,222,305,742,2022-06-10,B,Medium,Laggard,2.8901734104046244,12.22879684418146,57.49999999999999,19.81,573
acmr,ACM Research Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BBB,High,B,Medium,BB,Medium,410,232,325,967,2022-06-10,BBB,High, Average,40.46242774566474,14.201183431952662,62.5,36.78,408
acor,Acorda Therapeutics Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,230,307,310,847,2022-04-16,BB,Medium, Average,5.780346820809249,28.994082840236686,58.75,27.15,486
acnb,ACNB Corp,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,B,Medium,220,219,215,654,2022-04-16,B,Medium,Laggard,3.8535645472061653,11.637080867850099,35.0,14.36,647
acrs,Aclaris Therapeutics Inc,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,230,207,220,657,2022-04-16,B,Medium,Laggard,5.780346820809249,9.270216962524655,36.25,14.62,641
acrx,AcelRx Pharmaceuticals Inc,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,BB,Medium,200,237,300,737,2022-04-16,B,Medium,Laggard,0.0,15.187376725838265,56.25,19.38,579
act,Enact Holdings Inc,NASDAQ NMS - GLOBAL MARKET,Financial Services,A,High,BB,Medium,BB,Medium,540,328,315,1183,2022-04-20,BBB,High, Leader,65.51059730250482,33.13609467455622,60.0,52.8,102
actg,Acacia Research Corp,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,200,200,275,675,2022-04-16,B,Medium,Laggard,0.0,7.889546351084813,50.0,15.26,632
acva,ACV Auctions Inc,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,B,Medium,B,Medium,BB,Medium,235,262,315,812,2022-06-10,BB,Medium, Average,6.74373795761079,20.118343195266274,60.0,24.74,511
adag,Adagene Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,295,301,305,901,2022-06-10,BBB,High, Average,18.304431599229286,27.810650887573964,57.49999999999999,31.43,458
acxp,Acurx Pharmaceuticals Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,235,301,305,841,2022-06-11,BB,Medium, Average,6.74373795761079,27.810650887573964,57.49999999999999,26.81,491
adbe,Adobe Inc,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,B,Medium,B,Medium,200,221,200,621,2022-04-16,B,Medium,Laggard,0.0,12.03155818540434,31.25,12.02,692
adap,Adaptimmune Therapeutics PLC,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,B,Medium,BB,Medium,365,283,305,953,2022-04-16,BBB,High, Average,31.79190751445087,24.2603550295858,57.49999999999999,35.58,418
adma,ADMA Biologics Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,240,264,320,824,2022-04-16,BB,Medium, Average,7.7071290944123305,20.51282051282051,61.25000000000001,25.57,503
ades,Advanced Emissions Solutions Inc,NASDAQ NMS - GLOBAL MARKET,Chemicals,B,Medium,B,Medium,BB,Medium,205,201,300,706,2022-04-16,B,Medium,Laggard,0.9633911368015413,8.086785009861932,56.25,17.28,608
adi,Analog Devices Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BB,Medium,BB,Medium,BB,Medium,350,318,300,968,2022-04-16,BBB,High, Average,28.901734104046245,31.163708086785007,56.25,36.53,412
adil,Adial Pharmaceuticals Inc,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,BB,Medium,200,203,300,703,2022-06-10,B,Medium,Laggard,0.0,8.481262327416173,56.25,17.03,610
admp,Adamis Pharmaceuticals Corp,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,285,204,215,704,2022-04-16,B,Medium,Laggard,16.377649325626205,8.678500986193294,35.0,18.34,593
acer,Acer Therapeutics Inc,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,BB,Medium,223,291,310,824,2022-06-10,BB,Medium, Average,4.431599229287091,25.83826429980276,58.75,25.5,505
adoc,Edoc Acquisition Corp,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,BB,Medium,BB,Medium,215,301,300,816,2022-04-16,BB,Medium, Average,2.8901734104046244,27.810650887573964,56.25,24.95,510
adus,Addus Homecare Corp,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,210,215,218,643,2022-04-16,B,Medium,Laggard,1.9267822736030826,10.848126232741617,35.75,13.51,664
acgl,Arch Capital Group Ltd,NASDAQ NMS - GLOBAL MARKET,Insurance,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High, Leader,57.80346820809249,27.613412228796847,56.25,46.85,297
adpt,Adaptive Biotechnologies Corp,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,B,Medium,BB,Medium,B,Medium,260,348,260,868,2022-04-16,BB,Medium, Average,11.560693641618498,37.08086785009862,46.25,29.17,470
adsk,Autodesk Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,555,304,310,1169,2022-04-16,BBB,High, Leader,68.40077071290945,28.402366863905325,58.75,51.99,127
adp,Automatic Data Processing Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,500,300,200,1000,2022-07-25,BBB,High, Average,57.80346820809249,27.613412228796847,31.25,40.6,376
adtx,Aditxt Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,210,224,305,739,2022-06-10,B,Medium,Laggard,1.9267822736030826,12.6232741617357,57.49999999999999,19.56,578
adv,Advantage Solutions Inc,NASDAQ NMS - GLOBAL MARKET,Media,A,High,B,Medium,BB,Medium,515,269,328,1112,2022-04-20,BBB,High, Leader,60.69364161849711,21.499013806706113,63.24999999999999,47.61,261
advm,Adverum Biotechnologies Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,B,Medium,262,321,235,818,2022-04-16,BB,Medium, Average,11.946050096339114,31.755424063116372,40.0,25.89,499
