Ticker,Company,Exchange,Industry,Env_Grade,Env_Level,Social_Grade,Social_Level,Gov_Grade,Gov_Level,Env_Score,Social_Score,Gov_Score,Total_Score,Date,Total_Grade,Total_Level,ESG_Category,Env_Norm,Social_Norm,Gov_Norm,Weighted_ESG_Score,ESG_Rank
alec,Alector Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,240,277,300,817,2022-06-10,BB,Medium, Average,7.7071290944123305,23.076923076923077,56.25,25.22,508
algm,Allegro Microsystems Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,B,Medium,542,314,250,1106,2022-06-10,BBB,High, Leader,65.89595375722543,30.37475345167653,43.75,47.93,254
alf,Alfi Inc,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,B,Medium,BB,Medium,225,260,315,800,2022-06-11,BB,Medium, Average,4.8169556840077075,19.723865877712033,60.0,23.83,522
algn,Align Technology Inc,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,235,285,255,775,2022-04-16,BB,Medium,Laggard,6.74373795761079,24.65483234714004,45.0,22.58,527
algs,Aligos Therapeutics Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,210,222,235,667,2022-06-10,B,Medium,Laggard,1.9267822736030826,12.22879684418146,40.0,15.05,635
alhc,Alignment Healthcare LLC,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,BB,Medium,B,Medium,210,302,256,768,2022-06-10,BB,Medium,Laggard,1.9267822736030826,28.007889546351084,45.25,21.89,534
alks,Alkermes Plc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BBB,High,BB,Medium,BB,Medium,415,302,333,1050,2022-04-16,BBB,High, Average,41.42581888246628,28.007889546351084,64.5,42.5,366
alim,Alimera Sciences Inc,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,220,228,243,691,2022-04-16,B,Medium,Laggard,3.8535645472061653,13.41222879684418,42.0,16.74,614
algt,Allegiant Travel Co,NASDAQ NMS - GLOBAL MARKET,Airlines,B,Medium,B,Medium,B,Medium,287,208,248,743,2022-04-16,B,Medium,Laggard,16.76300578034682,9.467455621301776,43.25,20.83,555
aih,Aesthetic Medical International Holdings Group Ltd,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,BB,Medium,220,250,300,770,2022-06-10,BB,Medium,Laggard,3.8535645472061653,17.75147928994083,56.25,21.82,538
alkt,Alkami Technology Inc,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,BB,Medium,B,Medium,280,305,260,845,2022-06-10,BB,Medium, Average,15.414258188824661,28.59960552268245,46.25,27.74,481
alny,Alnylam Pharmaceuticals Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,BB,Medium,BB,Medium,331,346,325,1002,2022-04-16,BBB,High, Average,25.240847784200387,36.68639053254438,62.5,38.56,398
allt,Allot Ltd,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,508,324,310,1142,2022-04-16,BBB,High, Leader,59.34489402697495,32.34714003944773,58.75,49.75,193
allo,Allogene Therapeutics Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,535,324,305,1164,2022-06-10,BBB,High, Leader,64.54720616570327,32.34714003944773,57.49999999999999,51.52,137
amat,Applied Materials Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,525,317,300,1142,2022-04-16,BBB,High, Leader,62.6204238921002,30.96646942800789,56.25,49.95,183
amd,Advanced Micro Devices Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,B,Medium,B,Medium,B,Medium,200,208,200,608,2022-04-16,B,Medium,Laggard,0.0,9.467455621301776,31.25,11.13,706
atvi,Activision Blizzard Inc,NASDAQ NMS - GLOBAL MARKET,Media,B,Medium,BB,Medium,BB,Medium,280,347,330,957,2022-04-16,BBB,High, Average,15.414258188824661,36.883629191321496,63.74999999999999,35.01,425
avgo,Broadcom Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,B,Medium,B,Medium,B,Medium,210,212,200,622,2022-04-16,B,Medium,Laggard,1.9267822736030826,10.256410256410255,31.25,12.17,689
anss,ANSYS Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,580,337,285,1202,2022-04-16,A,High, Leader,73.21772639691714,34.9112426035503,52.5,54.63,74
amzn,Amazon.com Inc,NASDAQ NMS - GLOBAL MARKET,Retail,AA,Excellent,BB,Medium,BBB,High,668,305,460,1433,2022-04-16,A,High, Leader,90.17341040462428,28.59960552268245,96.25,70.14,6
aihs,Senmiao Technology Ltd,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,220,203,200,623,2022-06-10,B,Medium,Laggard,3.8535645472061653,8.481262327416173,31.25,12.32,687
apa,APA Corp (US),NASDAQ NMS - GLOBAL MARKET,Energy,A,High,BB,Medium,BB,Medium,510,316,325,1151,2022-04-16,BBB,High, Leader,59.73025048169557,30.76923076923077,62.5,50.29,171
biib,Biogen Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,BB,Medium,BB,Medium,380,303,364,1047,2022-04-16,BBB,High, Average,34.68208092485549,28.205128205128204,72.25,41.81,370
bkng,Booking Holdings Inc,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,558,306,310,1174,2022-06-10,BBB,High, Leader,68.97880539499036,28.79684418145957,58.75,52.36,115
cdns,Cadence Design Systems Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,500,308,295,1103,2022-04-16,BBB,High, Leader,57.80346820809249,29.191321499013807,55.00000000000001,47.09,275
cdw,CDW Corp,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,B,Medium,B,Medium,225,209,200,634,2022-04-16,B,Medium,Laggard,4.8169556840077075,9.664694280078894,31.25,13.12,671
chrw,CH Robinson Worldwide Inc,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,A,High,BB,Medium,BB,Medium,575,330,338,1243,2022-04-16,A,High, Leader,72.25433526011561,33.53057199211045,65.75,57.07,54
cinf,Cincinnati Financial Corp,NASDAQ NMS - GLOBAL MARKET,Insurance,B,Medium,B,Medium,B,Medium,235,275,250,760,2022-04-16,BB,Medium,Laggard,6.74373795761079,22.682445759368836,43.75,21.57,543
chtr,Charter Communications Inc,NASDAQ NMS - GLOBAL MARKET,Media,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High, Leader,57.80346820809249,27.613412228796847,56.25,46.85,297
cmcsa,Comcast Corp,NASDAQ NMS - GLOBAL MARKET,Media,A,High,BB,Medium,BB,Medium,507,343,315,1165,2022-04-16,BBB,High, Leader,59.15221579961464,36.09467455621302,60.0,51.29,141
cprt,Copart Inc,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,B,Medium,B,Medium,B,Medium,270,204,205,679,2022-04-16,B,Medium,Laggard,13.48747591522158,8.678500986193294,32.5,16.56,619
cost,Costco Wholesale Corp,NASDAQ NMS - GLOBAL MARKET,Retail,A,High,BB,Medium,B,Medium,537,306,225,1068,2022-04-16,BBB,High, Average,64.9325626204239,28.79684418145957,37.5,45.43,332
csx,CSX Corp,NASDAQ NMS - GLOBAL MARKET,Road and Rail,A,High,BB,Medium,BB,Medium,510,310,325,1145,2022-04-17,BBB,High, Leader,59.73025048169557,29.585798816568047,62.5,49.87,188
ctsh,Cognizant Technology Solutions Corp,NASDAQ NMS - GLOBAL MARKET,Technology,AA,Excellent,BB,Medium,BB,Medium,605,365,300,1270,2022-04-16,A,High, Leader,78.03468208092485,40.433925049309664,56.25,59.43,32
cme,CME Group Inc,NASDAQ NMS - GLOBAL MARKET,Financial Services,BB,Medium,B,Medium,B,Medium,375,237,200,812,2022-07-26,BB,Medium, Average,33.71868978805395,15.187376725838265,31.25,26.62,493
csco,Cisco Systems Inc,NASDAQ NMS - GLOBAL MARKET,Communications,B,Medium,B,Medium,B,Medium,280,234,220,734,2022-06-11,B,Medium,Laggard,15.414258188824661,14.595660749506903,36.25,20.34,564
ctas,Cintas Corp,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High, Leader,57.80346820809249,27.613412228796847,56.25,46.85,297
ctxs,Citrix Systems Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,530,305,305,1140,2022-04-16,BBB,High, Leader,63.58381502890174,28.59960552268245,57.49999999999999,49.82,191
czr,Caesars Entertainment Inc,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,B,Medium,B,Medium,B,Medium,265,228,200,693,2022-04-16,B,Medium,Laggard,12.524084778420038,13.41222879684418,31.25,17.52,604
dish,DISH Network Corp,NASDAQ NMS - GLOBAL MARKET,Media,B,Medium,B,Medium,B,Medium,210,263,205,678,2022-04-17,B,Medium,Laggard,1.9267822736030826,20.315581854043394,32.5,16.01,623
dltr,Dollar Tree Inc,NASDAQ NMS - GLOBAL MARKET,Retail,B,Medium,B,Medium,B,Medium,235,208,215,658,2022-04-17,B,Medium,Laggard,6.74373795761079,9.467455621301776,35.0,14.76,639
dxcm,Dexcom Inc,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,215,236,215,666,2022-04-17,B,Medium,Laggard,2.8901734104046244,14.990138067061142,35.0,15.15,634
ea,Electronic Arts Inc,NASDAQ NMS - GLOBAL MARKET,Media,BB,Medium,BB,Medium,B,Medium,360,300,225,885,2022-04-17,BB,Medium, Average,30.828516377649322,27.613412228796847,37.5,31.37,459
lnt,Alliant Energy Corp,NASDAQ NMS - GLOBAL MARKET,Utilities,A,High,BB,Medium,BB,Medium,519,307,300,1126,2022-04-16,BBB,High, Leader,61.46435452793835,28.994082840236686,56.25,48.8,227
fang,Diamondback Energy Inc,NASDAQ NMS - GLOBAL MARKET,Energy,A,High,B,Medium,BB,Medium,513,271,300,1084,2022-04-17,BBB,High, Average,60.308285163776496,21.893491124260358,56.25,45.85,328
ebay,eBay Inc,NASDAQ NMS - GLOBAL MARKET,Retail,A,High,BB,Medium,BB,Medium,500,302,305,1107,2022-04-17,BBB,High, Leader,57.80346820809249,28.007889546351084,57.49999999999999,47.3,271
lkq,LKQ Corp,NASDAQ NMS - GLOBAL MARKET,Distributors,A,High,BB,Medium,BB,Medium,515,300,305,1120,2022-04-18,BBB,High, Leader,60.69364161849711,27.613412228796847,57.49999999999999,48.32,241
googl,Alphabet Inc,NASDAQ NMS - GLOBAL MARKET,Media,B,Medium,BB,Medium,BB,Medium,295,362,355,1012,2022-04-30,BBB,High, Average,18.304431599229286,39.8422090729783,70.0,38.77,395
mar,Marriott International Inc,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,B,Medium,B,Medium,B,Medium,215,200,215,630,2022-04-18,B,Medium,Laggard,2.8901734104046244,7.889546351084813,35.0,12.67,680
mchp,Microchip Technology Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-18,BBB,High, Leader,57.80346820809249,27.613412228796847,56.25,46.85,297
lrcx,Lam Research Corp,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,510,325,315,1150,2022-04-18,BBB,High, Leader,59.73025048169557,32.544378698224854,60.0,50.28,172
mdlz,Mondelez International Inc,NASDAQ NMS - GLOBAL MARKET,Food Products,A,High,BB,Medium,BB,Medium,520,307,300,1127,2022-04-18,BBB,High, Leader,61.657032755298644,28.994082840236686,56.25,48.87,221
meta,Meta Platforms Inc,NASDAQ NMS - GLOBAL MARKET,Media,B,Medium,B,Medium,B,Medium,205,232,215,652,2022-04-22,B,Medium,Laggard,0.9633911368015413,14.201183431952662,35.0,14.11,656
mktx,Marketaxess Holdings Inc,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,230,213,210,653,2022-04-18,B,Medium,Laggard,5.780346820809249,10.453648915187378,33.75,14.41,646
mnst,Monster Beverage Corp,NASDAQ NMS - GLOBAL MARKET,Beverages,A,High,BB,Medium,BB,Medium,515,344,300,1159,2022-04-18,BBB,High, Leader,60.69364161849711,36.29191321499014,56.25,51.04,150
mrna,Moderna Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-18,BBB,High, Leader,57.80346820809249,27.613412228796847,56.25,46.85,297
mtch,Match Group Inc,NASDAQ NMS - GLOBAL MARKET,Media,B,Medium,BB,Medium,BB,Medium,245,389,311,945,2022-04-18,BBB,High, Average,8.670520231213873,45.16765285996055,59.0,34.03,437
mpwr,Monolithic Power Systems Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BB,Medium,B,Medium,B,Medium,330,287,235,852,2022-04-18,BB,Medium, Average,25.048169556840076,25.04930966469428,40.0,28.79,474
msft,Microsoft Corp,NASDAQ NMS - GLOBAL MARKET,Technology,AA,Excellent,BBB,High,BB,Medium,715,443,375,1533,2022-04-27,A,High, Leader,99.22928709055877,55.818540433925044,75.0,77.98,2
mu,Micron Technology Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,530,330,300,1160,2022-04-18,BBB,High, Leader,63.58381502890174,33.53057199211045,56.25,51.23,143
ndaq,Nasdaq Inc,NASDAQ NMS - GLOBAL MARKET,Financial Services,A,High,BB,Medium,BB,Medium,505,310,300,1115,2022-04-18,BBB,High, Leader,58.76685934489403,29.585798816568047,56.25,47.92,255
nlok,NortonLifeLock Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,505,315,305,1125,2022-06-10,BBB,High, Leader,58.76685934489403,30.57199211045365,57.49999999999999,48.58,235
ntrs,Northern Trust Corp,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,250,226,225,701,2022-04-18,B,Medium,Laggard,9.633911368015415,13.017751479289942,37.5,17.78,600
nwl,Newell Brands Inc,NASDAQ NMS - GLOBAL MARKET,Consumer products,A,High,BB,Medium,BB,Medium,525,303,315,1143,2022-04-18,BBB,High, Leader,62.6204238921002,28.205128205128204,60.0,49.92,184
nvda,NVIDIA Corp,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BB,Medium,BB,Medium,B,Medium,323,301,275,899,2022-04-18,BB,Medium, Average,23.699421965317917,27.810650887573964,50.0,31.71,455
allk,Allakos Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,200,273,300,773,2022-06-10,BB,Medium,Laggard,0.0,22.287968441814595,56.25,21.86,536
nwsa,News Corp,NASDAQ NMS - GLOBAL MARKET,Media,A,High,BB,Medium,BB,Medium,509,300,300,1109,2022-04-18,BBB,High, Leader,59.53757225433526,27.613412228796847,56.25,47.54,263
odfl,Old Dominion Freight Line Inc,NASDAQ NMS - GLOBAL MARKET,Road and Rail,BBB,High,BBB,High,B,Medium,467,423,280,1170,2022-04-18,BBB,High, Leader,51.445086705202314,51.87376725838264,51.24999999999999,51.55,136
pcar,Paccar Inc,NASDAQ NMS - GLOBAL MARKET,Machinery,A,High,BB,Medium,BB,Medium,568,343,305,1216,2022-04-18,A,High, Leader,70.90558766859345,36.09467455621302,57.49999999999999,55.37,66
nxpi,NXP Semiconductors NV,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,505,329,305,1139,2022-04-18,BBB,High, Leader,58.76685934489403,33.33333333333333,57.49999999999999,49.55,200
orly,O'Reilly Automotive Inc,NASDAQ NMS - GLOBAL MARKET,Retail,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-18,BBB,High, Leader,57.80346820809249,27.613412228796847,56.25,46.85,297
payx,Paychex Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,500,300,200,1000,2022-07-26,BBB,High, Average,57.80346820809249,27.613412228796847,31.25,40.6,376
pfg,Principal Financial Group Inc,NASDAQ NMS - GLOBAL MARKET,Insurance,A,High,BB,Medium,BB,Medium,555,320,300,1175,2022-04-18,BBB,High, Leader,68.40077071290945,31.558185404339252,56.25,52.47,111
rost,Ross Stores Inc,NASDAQ NMS - GLOBAL MARKET,Retail,BB,Medium,BB,Medium,BB,Medium,375,325,300,1000,2022-04-19,BBB,High, Average,33.71868978805395,32.544378698224854,56.25,38.94,394
sbac,SBA Communications Corp,NASDAQ NMS - GLOBAL MARKET,Real Estate,B,Medium,B,Medium,B,Medium,250,251,215,716,2022-04-19,B,Medium,Laggard,9.633911368015415,17.94871794871795,35.0,18.89,585
qcom,Qualcomm Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BBB,High,BB,Medium,BB,Medium,409,300,300,1009,2022-04-19,BBB,High, Average,40.26974951830443,27.613412228796847,56.25,39.84,389
pool,Pool Corp,NASDAQ NMS - GLOBAL MARKET,Distributors,A,High,BB,Medium,BB,Medium,525,306,313,1144,2022-04-18,BBB,High, Leader,62.6204238921002,28.79684418145957,59.5,50.0,180
pep,PepsiCo Inc,NASDAQ NMS - GLOBAL MARKET,Beverages,AA,Excellent,BB,Medium,BB,Medium,719,340,358,1417,2022-04-18,A,High, Leader,100.0,35.50295857988166,70.75,70.11,7
sbux,Starbucks Corp,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,BBB,High,BB,Medium,B,Medium,475,385,295,1155,2022-04-19,BBB,High, Leader,52.98651252408478,44.37869822485207,55.00000000000001,50.48,165
reg,Regency Centers Corp,NASDAQ NMS - GLOBAL MARKET,Real Estate,A,High,BB,Medium,BB,Medium,575,372,365,1312,2022-04-19,A,High, Leader,72.25433526011561,41.81459566074951,72.5,61.66,24
qrvo,Qorvo Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,535,310,305,1150,2022-04-19,BBB,High, Leader,64.54720616570327,29.585798816568047,57.49999999999999,50.55,160
ptc,PTC Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,550,302,308,1160,2022-04-19,BBB,High, Leader,67.4373795761079,28.007889546351084,58.25,51.34,140
penn,PENN Entertainment Inc,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,BB,Medium,BB,Medium,B,Medium,371,300,220,891,2022-04-18,BB,Medium, Average,32.947976878612714,27.613412228796847,36.25,31.91,453
pypl,PayPal Holdings Inc,NASDAQ NMS - GLOBAL MARKET,Technology,BB,Medium,B,Medium,B,Medium,370,244,285,899,2022-04-18,BB,Medium, Average,32.75529865125241,16.56804733727811,52.5,32.03,451
regn,Regeneron Pharmaceuticals Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,505,327,305,1137,2022-04-19,BBB,High, Leader,58.76685934489403,32.938856015779095,57.49999999999999,49.41,203
amgn,Amgen Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,575,312,328,1215,2022-04-16,A,High, Leader,72.25433526011561,29.980276134122285,63.24999999999999,55.21,69
snps,Synopsys Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,525,316,315,1156,2022-04-19,BBB,High, Leader,62.6204238921002,30.76923076923077,60.0,50.82,154
stx,Seagate Technology Holdings PLC,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,540,355,300,1195,2022-04-19,BBB,High, Leader,65.51059730250482,38.46153846153847,56.25,53.73,88
tech,Bio-Techne Corp,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,A,High,B,Medium,BB,Medium,510,268,300,1078,2022-04-16,BBB,High, Average,59.73025048169557,21.301775147928996,56.25,45.41,333
ter,Teradyne Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,507,328,315,1150,2022-04-19,BBB,High, Leader,59.15221579961464,33.13609467455622,60.0,50.26,173
swks,Skyworks Solutions Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,B,Medium,515,303,270,1088,2022-04-19,BBB,High, Average,60.69364161849711,28.205128205128204,48.75,46.34,318
trmb,Trimble Inc,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,A,High,BBB,High,BB,Medium,550,415,315,1280,2022-04-19,A,High, Leader,67.4373795761079,50.29585798816568,60.0,59.58,31
trow,T Rowe Price Group Inc,NASDAQ NMS - GLOBAL MARKET,Financial Services,A,High,BB,Medium,BB,Medium,510,325,310,1145,2022-04-19,BBB,High, Leader,59.73025048169557,32.544378698224854,58.75,49.97,182
ttwo,Take-Two Interactive Software Inc,NASDAQ NMS - GLOBAL MARKET,Media,B,Medium,BB,Medium,BB,Medium,225,307,310,842,2022-04-19,BB,Medium, Average,4.8169556840077075,28.994082840236686,58.75,26.76,492
tsla,Tesla Inc,NASDAQ NMS - GLOBAL MARKET,Automobiles,A,High,CCC,Low,B,Medium,555,160,278,993,2022-04-19,BBB,High, Average,68.40077071290945,0.0,50.74999999999999,40.05,386
tsco,Tractor Supply Co,NASDAQ NMS - GLOBAL MARKET,Retail,A,High,BB,Medium,B,Medium,500,300,200,1000,2022-09-17,BBB,High, Average,57.80346820809249,27.613412228796847,31.25,40.6,376
txn,Texas Instruments Inc,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-19,BBB,High, Leader,57.80346820809249,27.613412228796847,56.25,46.85,297
tmus,T-Mobile US Inc,NASDAQ NMS - GLOBAL MARKET,Telecommunication,BB,Medium,BB,Medium,B,Medium,342,331,230,903,2022-04-19,BBB,High, Average,27.360308285163775,33.72781065088758,38.75,32.44,448
ual,United Airlines Holdings Inc,NASDAQ NMS - GLOBAL MARKET,Airlines,B,Medium,B,Medium,B,Medium,205,203,221,629,2022-04-19,B,Medium,Laggard,0.9633911368015413,8.481262327416173,36.5,12.48,686
vrsk,Verisk Analytics Inc,NASDAQ NMS - GLOBAL MARKET,Professional Services,AA,Excellent,BB,Medium,BB,Medium,615,366,300,1281,2022-04-19,A,High, Leader,79.96146435452793,40.63116370808679,56.25,60.27,29
ulta,Ulta Beauty Inc,NASDAQ NMS - GLOBAL MARKET,Retail,B,Medium,B,Medium,B,Medium,205,242,200,647,2022-04-19,B,Medium,Laggard,0.9633911368015413,16.173570019723865,31.25,13.86,660
vrtx,Vertex Pharmaceuticals Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-19,BBB,High, Leader,57.80346820809249,27.613412228796847,56.25,46.85,297
vtrs,Viatris Inc,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,A,High,BB,Medium,B,Medium,500,300,200,1000,2022-09-24,BBB,High, Average,57.80346820809249,27.613412228796847,31.25,40.6,376
vrsn,Verisign Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,548,354,325,1227,2022-04-19,A,High, Leader,67.05202312138728,38.26429980276134,62.5,55.84,63
wba,Walgreens Boots Alliance Inc,NASDAQ NMS - GLOBAL MARKET,Retail,A,High,BB,Medium,BB,Medium,515,325,300,1140,2022-04-19,BBB,High, Leader,60.69364161849711,32.544378698224854,56.25,49.73,194
ntap,NetApp Inc,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,545,359,325,1229,2022-04-18,A,High, Leader,66.47398843930635,39.25049309664694,62.5,55.95,61
xel,Xcel Energy Inc,NASDAQ NMS - GLOBAL MARKET,Utilities,B,Medium,B,Medium,B,Medium,223,201,205,629,2022-04-20,B,Medium,Laggard,4.431599229287091,8.086785009861932,32.5,12.73,679
xray,DENTSPLY SIRONA Inc,NASDAQ NMS - GLOBAL MARKET,Health Care,A,High,BB,Medium,BB,Medium,530,318,305,1153,2022-04-17,BBB,High, Leader,63.58381502890174,31.163708086785007,57.49999999999999,50.72,156
zbra,Zebra Technologies Corp,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,BB,Medium,BB,Medium,BB,Medium,320,317,300,937,2022-04-20,BBB,High, Average,23.121387283236995,30.96646942800789,56.25,34.15,433
aap,Advance Auto Parts Inc,"NEW YORK STOCK EXCHANGE, INC.",Retail,B,Medium,B,Medium,B,Medium,264,261,210,735,2022-04-16,B,Medium,Laggard,12.33140655105973,19.92110453648915,33.75,20.34,564
zion,Zions Bancorporation NA,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,B,Medium,200,200,200,600,2022-04-20,B,Medium,Laggard,0.0,7.889546351084813,31.25,10.57,718
wynn,Wynn Resorts Ltd,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,B,Medium,B,Medium,B,Medium,225,201,200,626,2022-04-20,B,Medium,Laggard,4.8169556840077075,8.086785009861932,31.25,12.57,681
a,Agilent Technologies Inc,"NEW YORK STOCK EXCHANGE, INC.",Life Sciences Tools and Services,A,High,B,Medium,B,Medium,573,231,233,1037,2022-04-16,BBB,High, Average,71.86897880539499,14.003944773175542,39.5,43.52,357
abbv,Abbvie Inc,"NEW YORK STOCK EXCHANGE, INC.",Biotechnology,A,High,BB,Medium,BB,Medium,505,317,300,1122,2022-04-16,BBB,High, Leader,58.76685934489403,30.96646942800789,56.25,48.41,239
abc,Amerisourcebergen Corp,"NEW YORK STOCK EXCHANGE, INC.",Health Care,A,High,BB,Medium,BB,Medium,505,300,315,1120,2022-04-16,BBB,High, Leader,58.76685934489403,27.613412228796847,60.0,48.17,246
adm,Archer-Daniels-Midland Co,"NEW YORK STOCK EXCHANGE, INC.",Food Products,A,High,BB,Medium,BB,Medium,587,353,305,1245,2022-04-16,A,High, Leader,74.56647398843931,38.06706114398422,57.49999999999999,57.53,46
abt,Abbott Laboratories,"NEW YORK STOCK EXCHANGE, INC.",Health Care,A,High,BB,Medium,BB,Medium,515,305,305,1125,2022-04-16,BBB,High, Leader,60.69364161849711,28.59960552268245,57.49999999999999,48.66,232
aee,Ameren Corp,"NEW YORK STOCK EXCHANGE, INC.",Utilities,A,High,BB,Medium,BB,Medium,562,345,300,1207,2022-04-16,A,High, Leader,69.7495183044316,36.489151873767256,56.25,54.73,71
aes,AES Corp,"NEW YORK STOCK EXCHANGE, INC.",Utilities,A,High,BB,Medium,BB,Medium,525,326,370,1221,2022-04-16,A,High, Leader,62.6204238921002,32.74161735700197,73.75,54.95,70
afl,Aflac Inc,"NEW YORK STOCK EXCHANGE, INC.",Insurance,BBB,High,BB,Medium,B,Medium,454,300,235,989,2022-04-16,BBB,High, Average,48.94026974951831,27.613412228796847,40.0,39.24,392
acn,Accenture PLC,"NEW YORK STOCK EXCHANGE, INC.",Technology,A,High,BB,Medium,BB,Medium,515,360,305,1180,2022-04-16,BBB,High, Leader,60.69364161849711,39.447731755424066,57.49999999999999,52.46,112
ajg,Arthur J. Gallagher & Co.,"NEW YORK STOCK EXCHANGE, INC.",Insurance,A,High,BB,Medium,BB,Medium,530,344,310,1184,2022-04-16,BBB,High, Leader,63.58381502890174,36.29191321499014,58.75,52.82,101
aiz,Assurant Inc,"NEW YORK STOCK EXCHANGE, INC.",Insurance,BBB,High,BB,Medium,BB,Medium,438,316,300,1054,2022-04-16,BBB,High, Average,45.857418111753375,30.76923076923077,56.25,43.17,360
